id,course_name,course_level,couse_code,school_id,department_id
52,From Chemistry to Life,500,ASTR-0500,1,6
53,From Planets to Cosmos,600,ASTR-0600,1,6
54,Frontiers and Controversies in Astrophysics,700,ASTR-0700,1,6
55,Course Materials,800,ASTR-0800,1,6
56,Hunting for Life in the Universe,900,ASTR-0900,1,6
57,Introduction to Astrophysics,1000,ASTR-1000,1,6
58,Introduction to Cosmology,1100,ASTR-1100,1,6
59,Introduction to General Astronomy,1200,ASTR-1200,1,6
60,Introduction to General Astronomy,1300,ASTR-1300,1,6
61,Introduction Planetary Science and Astronomy,1400,ASTR-1400,1,6
62,Life in the Universe,1500,ASTR-1500,1,6
63,Origins: From the Big Bang to the Emergence of Humans (Syllabus),1600,ASTR-1600,1,6
64,Survey of Astronomy,1700,ASTR-1700,1,6
65,The Accelerating Universe,1800,ASTR-1800,1,6
66,The Planets (Christmas Lectures for Kids),1900,ASTR-1900,1,6
67,The Planets,2000,ASTR-2000,1,6
68,Adolescent Health and Development,100,BIOL-0100,1,7
69,Advanced Clinical Pathophysiology (Nur 6591),200,BIOL-0200,1,7
70,Anatomy & Physiology,300,BIOL-0300,1,7
71,"Animals in Research: Law, Policy, and Humane Sciences",400,BIOL-0400,1,7
72,Animal Behavior,500,BIOL-0500,1,7
73,Animal Science,600,BIOL-0600,1,7
74,Autism and Related Disorders,700,BIOL-0700,1,7
75,Basic Nursing Theory,800,BIOL-0800,1,7
76,Behavioral Endocrinology,900,BIOL-0900,1,7
77,Biochemistry,1000,BIOL-1000,1,7
78,Biochemistry,1100,BIOL-1100,1,7
79,Biochemistry for Pre-Meds,1200,BIOL-1200,1,7
80,Biodiversity and the Meaning of Human Existence,1300,BIOL-1300,1,7
81,Biology Beyond Genes,1400,BIOL-1400,1,7
82,Biophotonics,1500,BIOL-1500,1,7
83,Bioscience in the 21st Century,1600,BIOL-1600,1,7
84,Brain and Behavior,1700,BIOL-1700,1,7
85,Brain Structure and its Origins,1800,BIOL-1800,1,7
86,Cardiovascular Grand Rounds,1900,BIOL-1900,1,7
87,Case Studies in Primary Healthcare,2000,BIOL-2000,1,7
88,Changing the Face of American Healthcare,2100,BIOL-2100,1,7
89,Computational Molecular Biology,2200,BIOL-2200,1,7
90,"COVID-19, SARS-CoV-2 and the Pandemic",2300,BIOL-2300,1,7
91,Darwin’s Legacy,2400,BIOL-2400,1,7
92,Stanford,2500,BIOL-2500,1,7
93,Diet and Nutrition,2600,BIOL-2600,1,7
94,Enhancing Humane Science,2700,BIOL-2700,1,7
95,Environmental Health Sciences,2800,BIOL-2800,1,7
96,"Kirk Smith, UC Berkeley",2900,BIOL-2900,1,7
97,Evolution,3000,BIOL-3000,1,7
98,Evolution and Medicine,3100,BIOL-3100,1,7
99,"Evolution, Ecology and Behavior",3200,BIOL-3200,1,7
100,Course Info,3300,BIOL-3300,1,7
101,Exercise Science and Wellness,3400,BIOL-3400,1,7
102,Foundations of Computational and Systems Biology,3500,BIOL-3500,1,7
103,Frontiers in Biomedical Engineering,3600,BIOL-3600,1,7
104,Course Info,3700,BIOL-3700,1,7
105,Fundamentals of Biology,3800,BIOL-3800,1,7
106,"Multiple Instructors, MIT",3900,BIOL-3900,1,7
107,General Biology 1,4000,BIOL-4000,1,7
108,General Biology 1,4100,BIOL-4100,1,7
109,General Biology 2,4200,BIOL-4200,1,7
110,General Biology,4300,BIOL-4300,1,7
111,"Multiple professors, UC Berkeley",4400,BIOL-4400,1,7
112,General Biochemistry and Molecular Biology,4500,BIOL-4500,1,7
113,General Human Anatomy,4600,BIOL-4600,1,7
114,"Marian Diamond, UC Berkeley",4700,BIOL-4700,1,7
115,"General Introduction to Plant Development, Form, and Function",4800,BIOL-4800,1,7
116,"Multiple profs, UC Berkeley",4900,BIOL-4900,1,7
117,"Genetic Engineering in Medicine, Agriculture, and Law",5000,BIOL-5000,1,7
118,Genomes and Diversity,5100,BIOL-5100,1,7
119,Genomics & Computational Biology,5200,BIOL-5200,1,7
120,Genomic Medicine,5300,BIOL-5300,1,7
121,Getting Started in Crypto-EM,5400,BIOL-5400,1,7
122,Global Problems of Population Growth,5500,BIOL-5500,1,7
123,Course Materials ,5600,BIOL-5600,1,7
124,Growing Up in the Universe,5700,BIOL-5700,1,7
125,"Hacking Consciousness: Consciousness, Cognition and the Brain",5800,BIOL-5800,1,7
126,Health and Culture,5900,BIOL-5900,1,7
127,"Health Behavior Change at the Individual, Household and Community Levels",6000,BIOL-6000,1,7
128,Human Behavioral Biology,6100,BIOL-6100,1,7
129,Introduction to Biochemistry,6200,BIOL-6200,1,7
130,Introductory Biology,6300,BIOL-6300,1,7
131,Introduction to Biology,6400,BIOL-6400,1,7
132,Introduction to Biology,6500,BIOL-6500,1,7
133,Introduction to Cellular & Molecular Biology,6600,BIOL-6600,1,7
134,Introduction to Genetics and Evolution,6700,BIOL-6700,1,7
135,Introduction to Human Nutrition,6800,BIOL-6800,1,7
136,Introduction to Human Physiology,6900,BIOL-6900,1,7
137,Introduction to Immunology,7000,BIOL-7000,1,7
138,Introduction to Toxicology,7100,BIOL-7100,1,7
139,Introduction to Veterinary Anesthesiology,7200,BIOL-7200,1,7
140,Issues in Mental Health Research in Developing Countries,7300,BIOL-7300,1,7
141,"Life, Concepts and Issues: Introduction to Life Sciences for Non-Science Majors",7400,BIOL-7400,1,7
142,Modern Biology,7500,BIOL-7500,1,7
143,Molecular and Cell Biology,7600,BIOL-7600,1,7
144,Molecular Biology: Macromolecular Synthesis and Cellular Function,7700,BIOL-7700,1,7
145,Molecules and Cells,7800,BIOL-7800,1,7
146,Pharmacology,7900,BIOL-7900,1,7
147,Plant Science,8000,BIOL-8000,1,7
148,Pre-Med Primer: What Your Advisor Won’t Tell You,8100,BIOL-8100,1,7
149,Principles of Human Development,8200,BIOL-8200,1,7
150,Principles of Human Nutrition,8300,BIOL-8300,1,7
151,Pulmonary Medical School,8400,BIOL-8400,1,7
152,Replaceable You: Stem Cells and Tissue Engineering,8500,BIOL-8500,1,7
153,Straight Talk About Stem Cells,8600,BIOL-8600,1,7
154,Stem Cells: Policy and Ethics,8700,BIOL-8700,1,7
155,The Brain: A User’s Guide,8800,BIOL-8800,1,7
156,The Future of Human Health,8900,BIOL-8900,1,7
157,The History of Public Health,9000,BIOL-9000,1,7
158,The Stanford Mini Med School (Fall),9100,BIOL-9100,1,7
159,Multiple Professors,9200,BIOL-9200,1,7
160,The Stanford Mini Med School (Winter),9300,BIOL-9300,1,7
161,Multiple Professors,9400,BIOL-9400,1,7
162,The Stanford Mini Med School (Spring),9500,BIOL-9500,1,7
163,The Stanford Mini Med School: The Heart,9600,BIOL-9600,1,7
164,Urban Health in Developing Countries,9700,BIOL-9700,1,7
165,Virology,9800,BIOL-9800,1,7
166,Biochemistry 1,100,CHEM-0100,1,8
167,Biological Chemistry 1,200,CHEM-0200,1,8
168,Chemical Structure and Reactivity,300,CHEM-0300,1,8
169,Chemistry (Chemical Stoichiometry),400,CHEM-0400,1,8
170,Core Concepts in Chemistry,500,CHEM-0500,1,8
171,Cosmic Origin of the Chemical Elements,600,CHEM-0600,1,8
172,Crystallography,700,CHEM-0700,1,8
173,Freshman Organic Chemistry,800,CHEM-0800,1,8
174,"J. Michael McBride, Yale",900,CHEM-0900,1,8
175,Freshman Organic Chemistry II,1000,CHEM-1000,1,8
176,"J. Michael McBride, Yale",1100,CHEM-1100,1,8
177,Fundamentals of Chemistry,1200,CHEM-1200,1,8
178,General Chemistry,1300,CHEM-1300,1,8
179,General Chemistry,1400,CHEM-1400,1,8
180,Green Chemistry: An Interdisciplinary Approach to Sustainability,1500,CHEM-1500,1,8
181,General Chemistry for Engineers,1600,CHEM-1600,1,8
182,Introduction to Chemistry,1700,CHEM-1700,1,8
183,Introduction to Chemical Engineering,1800,CHEM-1800,1,8
184,Introduction to Green Chemistry,1900,CHEM-1900,1,8
185,Introduction to Quantum Chemistry,2000,CHEM-2000,1,8
186,Introduction to Solid State Chemistry,2100,CHEM-2100,1,8
187,"Donald Sadoway, MIT",2200,CHEM-2200,1,8
188,Introduction to Quantum Chemistry,2300,CHEM-2300,1,8
189,Introductory Quantum Chemistry,2400,CHEM-2400,1,8
190,"Life, Universe & Everything: Chemistry of Our Daily Lives",2500,CHEM-2500,1,8
191,"Lights, Camera, Action: The Chemistry of Movies & TV",2600,CHEM-2600,1,8
192,Organic Chemistry,2700,CHEM-2700,1,8
193,Organic Chemistry,2800,CHEM-2800,1,8
194,Organic Chemistry 1,2900,CHEM-2900,1,8
195,Organic Chemistry 2,3000,CHEM-3000,1,8
196,Organic Reactions and Pharmaceuticals,3100,CHEM-3100,1,8
197,Organic Spectroscopy,3200,CHEM-3200,1,8
198,Physical Chemistry,3300,CHEM-3300,1,8
199,Physical Chemistry 1,3400,CHEM-3400,1,8
200,Physical Chemistry 2,3500,CHEM-3500,1,8
201,Principles of Chemical Science,3600,CHEM-3600,1,8
202,Ancient and Medieval Philosophy (Syllabus),100,CLAS-0100,1,9
203,Ancient Greece: City and Society,200,CLAS-0200,1,9
204,"Ancient Greece: Myth, Art & War",300,CLAS-0300,1,9
205,Ancient Greek History,400,CLAS-0400,1,9
206,Ancient Israel,500,CLAS-0500,1,9
207,Ancient Philosophy,600,CLAS-0600,1,9
208,Ancient Wisdom and Modern Love (Syllabus),700,CLAS-0700,1,9
209,Classical Mythology,800,CLAS-0800,1,9
210,Classical Mythology ,900,CLAS-0900,1,9
211,Concepts of the Hero in Greek Civilization,1000,CLAS-1000,1,9
212,Epics of Rome,1100,CLAS-1100,1,9
213,Greek and Roman Mythology,1200,CLAS-1200,1,9
214,Hannibal,1300,CLAS-1300,1,9
215,Roman Architecture,1400,CLAS-1400,1,9
216,The Philosophy of Tragedy,1500,CLAS-1500,1,9
217,The Roman World,1600,CLAS-1600,1,9
218,Australia,1700,CLAS-1700,1,9
219,Virgil’s Aeneid: Anatomy of a Classic,1800,CLAS-1800,1,9
220,Becoming the Next Bill Nye: Writing and Hosting the Educational Show,100,COMM-0100,1,10
221,Business Fundamentals: Effective Communication,200,COMM-0200,1,10
222,Communication Skills and Teamwork,300,COMM-0300,1,10
223,Communication Skills for Bridging Divides,400,COMM-0400,1,10
224,Crisis Management: Proseminar in Public Relations,500,COMM-0500,1,10
225,Design and Make Infographics,600,COMM-0600,1,10
226,Effective Business Presentations with Powerpoint,700,COMM-0700,1,10
227,Freedom of Speech and the Press,800,COMM-0800,1,10
228,Fundamentals of Public Speaking,900,COMM-0900,1,10
229,Improving Communication Skills,1000,COMM-1000,1,10
230,Introduction to Communication Science,1100,COMM-1100,1,10
231,Introduction to Public Speaking,1200,COMM-1200,1,10
232,Inter-Collegiate Debating I,1300,COMM-1300,1,10
233,Overcoming Public Speaking Anxiety,1400,COMM-1400,1,10
234,Public Speaking II,1500,COMM-1500,1,10
235,Rhetoric: The Art of Persuasive Writing and Public Speaking,1600,COMM-1600,1,10
236,Rhetoric,1700,COMM-1700,1,10
237,Storytelling,1800,COMM-1800,1,10
238,The Interview,1900,COMM-1900,1,10
239,Writing for Strategic Communication,2000,COMM-2000,1,10
240,"Cars: Past, Present & Future",100,DESI-0100,1,11
241,Crash Course in Design Thinking,200,DESI-0200,1,11
242,Design Thinking for Innovation,300,DESI-0300,1,11
243,Digital Design,400,DESI-0400,1,11
244,Everything I Know,500,DESI-0500,1,11
245,Fashion as Design,600,DESI-0600,1,11
246,Ideas from the History of Graphic Design,700,DESI-0700,1,11
247,Introduction to Design Thinking,800,DESI-0800,1,11
248,Introduction to Visual Design,900,DESI-0900,1,11
249,Product Design: The Delft Design Approach,1000,DESI-1000,1,11
250,Video Game Design History,1100,DESI-1100,1,11
251,Economic Geography of the Industrial World,100,GEOG-0100,1,12
252,Geography of US Presidential Elections,200,GEOG-0200,1,12
253,Geography of Europe,300,GEOG-0300,1,12
254,Geography of World Cultures,400,GEOG-0400,1,12
255,Geopolitics: Geographical Aspects of International Affairs,500,GEOG-0500,1,12
256,Global Geopolitics,600,GEOG-0600,1,12
257,Introduction to Ozark Studies,700,GEOG-0700,1,12
258,"World Regions, Peoples, and States",800,GEOG-0800,1,12
259,Causes of Human Disease: Understanding Causes of Disease,100,HEAL-0100,1,13
260,"COVID-19, SARS-CoV-2 and the Pandemic",200,HEAL-0200,1,13
261,"Dementia and the Arts: Sharing Practice, Developing Understanding and Enhancing Lives",300,HEAL-0300,1,13
262,Engineering Health: Introduction to Yoga and Physiology,400,HEAL-0400,1,13
263,Epidemics,500,HEAL-0500,1,13
264,Epidemiology and Control of Infectious Diseases,600,HEAL-0600,1,13
265,Exploring Play: the Importance of Play in Everyday Life,700,HEAL-0700,1,13
266,Finding Purpose and Meaning In Life: Living for What Matters Most,800,HEAL-0800,1,13
267,Food as Medicine,900,HEAL-0900,1,13
268,Food and Mood: Improving Mental Health Through Diet and Nutrition,1000,HEAL-1000,1,13
269,Hacking Exercise For Health. The Surprising New Science of Fitness,1100,HEAL-1100,1,13
270,Healing with the Arts,1200,HEAL-1200,1,13
271,Introduction to Infectious Disease,1300,HEAL-1300,1,13
272,Science Matters: Let’s Talk About COVID-19/Coronavirus,1400,HEAL-1400,1,13
273,Maintaining a Mindful Life,1500,HEAL-1500,1,13
274,Medicine and the Arts: Humanising Healthcare,1600,HEAL-1600,1,13
275,Mindfulness for Wellbeing and Peak Performance,1700,HEAL-1700,1,13
276,Positive Psychiatry and Mental Health,1800,HEAL-1800,1,13
277,"Talking About Cancer: Reducing Risk, Early Detection and Mythbusting",1900,HEAL-1900,1,13
278,Theories and Biological Basis of Substance Abuse & Addiction,2000,HEAL-2000,1,13
279,Traditional herbal medicine in supportive cancer care: From alternative to integrative,2100,HEAL-2100,1,13
280,The Addicted Brain,2200,HEAL-2200,1,13
281,The Science of Exercise,2300,HEAL-2300,1,13
282,The Science and Practice of Yoga,2400,HEAL-2400,1,13
283,Vital Signs: Understanding What the Body Is Telling Us,2500,HEAL-2500,1,13
284,A Tale of Three Super Powers,100,HIST-0100,1,14
285,African American History: Emancipation to the Present,200,HIST-0200,1,14
286,African-American History: Modern Freedom Struggle,300,HIST-0300,1,14
287,Age of Cathedrals,400,HIST-0400,1,14
288,Age of Jefferson,500,HIST-0500,1,14
289,America Through Foreign Eyes,600,HIST-0600,1,14
290,American Economic History (Syllabus),700,HIST-0700,1,14
291,American Economic History (Syllabus),800,HIST-0800,1,14
292,American Environmental History,900,HIST-0900,1,14
293,Ancient Greece: City and Society,1000,HIST-1000,1,14
294,"Ancient Greece: Myth, Art & War",1100,HIST-1100,1,14
295,Ancient Greek History,1200,HIST-1200,1,14
296,Ancient Israel,1300,HIST-1300,1,14
297,Asia in the Modern World: Images & Representations,1400,HIST-1400,1,14
298,Australian Aboriginal History,1500,HIST-1500,1,14
299,Ben Franklin and the World of the Enlightenment,1600,HIST-1600,1,14
300,Big History,1700,HIST-1700,1,14
301,"ChinaX: China’s Past, Present and Future",1800,HIST-1800,1,14
302,CIA in the Third World,1900,HIST-1900,1,14
303,Colonial and Revolutionary America,2000,HIST-2000,1,14
304,Constitutional Convention,2100,HIST-2100,1,14
305,"Coexistence in Medieval Spain: Jews, Christians, and Muslims",2200,HIST-2200,1,14
306,Economic History of the Soviet Union,2300,HIST-2300,1,14
307,Early Imperial Russia,2400,HIST-2400,1,14
308,"Early Modern England: Politics, Religion & Society under the Tudors and Stuarts",2500,HIST-2500,1,14
309,Emperors of Rome,2600,HIST-2600,1,14
310,Epidemics in Western Society Since 1600,2700,HIST-2700,1,14
311,Ethnic Relations in the US,2800,HIST-2800,1,14
312,"Europe and the World: Wars, Empires, Nations 1648-1914",2900,HIST-2900,1,14
313,"European Civilization, 1648-1945",3000,HIST-3000,1,14
314,European Civilization from the Renaissance to the Present,3100,HIST-3100,1,14
315,"European Cultural History, 1500-1815",3200,HIST-3200,1,14
316,"European Cultural History, 1660-1870",3300,HIST-3300,1,14
317,"European Cultural History, 1880-1920",3400,HIST-3400,1,14
318,France Since 1871,3500,HIST-3500,1,14
319,Freedom 101: Introduction to American Constitutional History,3600,HIST-3600,1,14
320,Hannibal,3700,HIST-3700,1,14
321,Harvey Goldberg Lectures (1975-1983),3800,HIST-3800,1,14
322,Historical Jesus,3900,HIST-3900,1,14
323,History and Practice of Human Rights,4000,HIST-4000,1,14
324,History of Information,4100,HIST-4100,1,14
325,History of Iran to the Safavid Period,4200,HIST-4200,1,14
326,History of the Culture of Tea in China and Japan,4300,HIST-4300,1,14
327,History of the International System,4400,HIST-4400,1,14
328,History of MIT,4500,HIST-4500,1,14
329,History of the Modern Middle East,4600,HIST-4600,1,14
330,History of New York City: A Social History ,4700,HIST-4700,1,14
331,History of the United States Since 1877,4800,HIST-4800,1,14
332,History of the World Since 1500 CE,4900,HIST-4900,1,14
333,Intellectual History of the United States since 1865,5000,HIST-5000,1,14
334,Introduction to African American Studies,5100,HIST-5100,1,14
335,Introduction to Ancient Egypt and Its Civilization,5200,HIST-5200,1,14
336,Introduction to Ancient Greek History,5300,HIST-5300,1,14
337,Introduction to American Studies,5400,HIST-5400,1,14
338,Ireland in Rebellion (1782-1916),5500,HIST-5500,1,14
339,Latin American History through the Novel,5600,HIST-5600,1,14
340,21 Hours of Lectures by Howard Zinn,5700,HIST-5700,1,14
341,Magic in the Middle Ages,5800,HIST-5800,1,14
342,Making History,5900,HIST-5900,1,14
343,Medieval British History,6000,HIST-6000,1,14
344,Medicine and Public Health in American History,6100,HIST-6100,1,14
345,Modern Civilization: 1750 to Present,6200,HIST-6200,1,14
346,Modern Jewish History,6300,HIST-6300,1,14
347,"Pirates, Smugglers, and the Modern World",6400,HIST-6400,1,14
348,Rethinking the Black Liberation Movement,6500,HIST-6500,1,14
349,Rethinking Theory in Black Studies,6600,HIST-6600,1,14
350,Russian History: from Lenin to Putin,6700,HIST-6700,1,14
351,"Science, Magic and Religion",6800,HIST-6800,1,14
352,The American Founders and Their World,6900,HIST-6900,1,14
353,The American Revolution,7000,HIST-7000,1,14
354,"The Americas: Identity, Culture, and Power",7100,HIST-7100,1,14
355,The Ancient Mediterranean World,7200,HIST-7200,1,14
356,The Ancient Greeks,7300,HIST-7300,1,14
357,The Birth of the Modern: Europe and its Others,7400,HIST-7400,1,14
358,The Changing Landscape of Ancient Rome. Archaeology and History of the Palatine Hill,7500,HIST-7500,1,14
359,The Cosmopolitan Medieval Arabic World,7600,HIST-7600,1,14
360,"The Civil War and Reconstruction Era, 1845-1877",7700,HIST-7700,1,14
361,The Crusades,7800,HIST-7800,1,14
362,"The Early Middle Ages, 284-1000",7900,HIST-7900,1,14
363,The French Revolution,8000,HIST-8000,1,14
364,The Great War and Modern Philosophy,8100,HIST-8100,1,14
365,The Holocaust,8200,HIST-8200,1,14
366,The Holocaust,8300,HIST-8300,1,14
367,The Flowering of the Middle Ages,8400,HIST-8400,1,14
368,The History of Public Health,8500,HIST-8500,1,14
369,The Kennedy Half Century,8600,HIST-8600,1,14
370,The Modern World: Global History Since 1760,8700,HIST-8700,1,14
371,"The Modern World, Part One: Global History from 1760 to 1910",8800,HIST-8800,1,14
372,"The Modern World, Part Two: Global History since 1910",8900,HIST-8900,1,14
373,The Normans,9000,HIST-9000,1,14
374,The Ottoman Empire,9100,HIST-9100,1,14
375,"The Peculiar Modernity of Britain, 1848-2000",9200,HIST-9200,1,14
376,The Reformation,9300,HIST-9300,1,14
377,The Roman World,9400,HIST-9400,1,14
378,The Story of Freedom in America,9500,HIST-9500,1,14
379,The Vietnam War,9600,HIST-9600,1,14
380,The Vikings,9700,HIST-9700,1,14
381,US History: from Civil War to Present,9800,HIST-9800,1,14
382,20th Century United States History,9900,HIST-9900,1,14
383,The Western Tradition (Video),10000,HIST-10000,1,14
384,"War, Globalization, and Terror",10100,HIST-10100,1,14
385,World Revolutions,10200,HIST-10200,1,14
386,World Civilization to 1500,10300,HIST-10300,1,14
387,World Civilization Since 1500,10400,HIST-10400,1,14
388,World Economic History Before the Industrial Revolution,10500,HIST-10500,1,14
389,American Literature I: Beginnings to Civil War,100,LITE-0100,1,35
390,American Passages: A Literary Survey,200,LITE-0200,1,35
391,Approaching Shakespeare,300,LITE-0300,1,35
392,British and American Poetry: 1900 to the Present,400,LITE-0400,1,35
393,Chaucer,500,LITE-0500,1,35
394,Cervantes’ Don Quixote,600,LITE-0600,1,35
395,Contemporary Literature,700,LITE-0700,1,35
396,Creative Reading,800,LITE-0800,1,35
397,Creative Writing: A Master Class,900,LITE-0900,1,35
398,Cultural Studies,1000,LITE-1000,1,35
399,Dante in Translation,1100,LITE-1100,1,35
400,Darwin and Design,1200,LITE-1200,1,35
401,D.H. Lawrence,1300,LITE-1300,1,35
402,Dracula (by Bram Stoker),1400,LITE-1400,1,35
403,Dune (Novel by Frank Herbert),1500,LITE-1500,1,35
404,Epics of Rome,1600,LITE-1600,1,35
405,Existentialism in Literature & Film,1700,LITE-1700,1,35
406,Expansive Poetics,1800,LITE-1800,1,35
407,Faeirie and Fantasy,1900,LITE-1900,1,35
408,Fiction for Young Adults,2000,LITE-2000,1,35
409,From Gods and Back,2100,LITE-2100,1,35
410,Genres in Children’s Literature,2200,LITE-2200,1,35
411,George Eliot,2300,LITE-2300,1,35
412,"Hemingway, Fitzgerald, Faulkner",2400,LITE-2400,1,35
413,History of Children’s Literature,2500,LITE-2500,1,35
414,Holocaust in Film and Literature,2600,LITE-2600,1,35
415,History of Poetry,2700,LITE-2700,1,35
416,How Stories Seduce Us,2800,LITE-2800,1,35
417,Introduction to Literature and the Environment,2900,LITE-2900,1,35
418,Introduction to Modern Japanese Literature and Culture,3000,LITE-3000,1,35
419,Introduction to Poetry,3100,LITE-3100,1,35
420,Introduction to Pre-Modern Japanese Literature and Culture,3200,LITE-3200,1,35
421,Introduction to Theory of Literature,3300,LITE-3300,1,35
422,Invitation to World Literature,3400,LITE-3400,1,35
423,Jack Kerouac,3500,LITE-3500,1,35
424,Latin American History through the Novel,3600,LITE-3600,1,35
425,"La Préparation du roman, in French (1978-80)",3700,LITE-3700,1,35
426,Literary History of the Beats,3800,LITE-3800,1,35
427,Literature and Form,3900,LITE-3900,1,35
428,Literature and Psychoanalysis,4000,LITE-4000,1,35
429,Milton,4100,LITE-4100,1,35
430,Lord of the Rings I: The Road Goes Ever On,4200,LITE-4200,1,35
431,Lord of the Rings II: The Two Towers,4300,LITE-4300,1,35
432,Lord of the Rings III: Return of the King,4400,LITE-4400,1,35
433,Modern & Contemporary American Poetry,4500,LITE-4500,1,35
434,Modern Poetry,4600,LITE-4600,1,35
435,Not Shakespeare: Elizabethan and Jacobean Popular Theatre,4700,LITE-4700,1,35
436,Old English in Context,4800,LITE-4800,1,35
437,Oscar Wilde,4900,LITE-4900,1,35
438,Post Colonial Literature for Children,5000,LITE-5000,1,35
439,Restoration and 18th Century Poetry: From Dryden to Wordsworth,5100,LITE-5100,1,35
440,Rhetoric,5200,LITE-5200,1,35
441,Romanticism,5300,LITE-5300,1,35
442,Science Fiction and Politics,5400,LITE-5400,1,35
443,Shakespeare,5500,LITE-5500,1,35
444,Shakespeare After All: The Later Plays,5600,LITE-5600,1,35
445,Shakespeare’s Principal Plays,5700,LITE-5700,1,35
446,Spenser and Milton,5800,LITE-5800,1,35
447,Survey of American Literature II,5900,LITE-5900,1,35
448,Survey of Shakespeare’s Plays,6000,LITE-6000,1,35
449,The American Novel Since 1945,6100,LITE-6100,1,35
450,The Art of Living,6200,LITE-6200,1,35
451,The Bible and English Literature,6300,LITE-6300,1,35
452,The Heroic Quest,6400,LITE-6400,1,35
453,The Hobbit,6500,LITE-6500,1,35
454,The Literature of Crisis,6600,LITE-6600,1,35
455,The Lost Road (Tolkien),6700,LITE-6700,1,35
456,The Princess Bride,6800,LITE-6800,1,35
457,The Shaping of Middle Earth,6900,LITE-6900,1,35
458,The Silmarillion Seminar,7000,LITE-7000,1,35
459,The Tempest,7100,LITE-7100,1,35
460,The Western Canon: From Homer to Milton,7200,LITE-7200,1,35
461,This Craft of Verse: The Charles Eliot Norton Lectures,7300,LITE-7300,1,35
462,Tolkien,7400,LITE-7400,1,35
463,Tolkien’s The Book of Lost Tales: Part 1,7500,LITE-7500,1,35
464,Tolkien’s The Book of Lost Tales: Part 2,7600,LITE-7600,1,35
465,Tolkien’s Unfinished Tales of Númenor and Middle-earth,7700,LITE-7700,1,35
466,Undergraduate Tolkien Survey,7800,LITE-7800,1,35
467,Virgil’s Aeneid: Anatomy of a Classic,7900,LITE-7900,1,35
468,Voices & Visions: The Lives & Works of 13 American Poets,8000,LITE-8000,1,35
